,id,degree,name
58,58,41,Ron Weasley
21,21,35,Hermione Granger
39,39,34,Harry Potter
11,11,31,Albus Dumbledore
55,55,24,Ginny Weasley
54,54,23,George Weasley
50,50,22,Arthur Weasley
53,53,22,Fred Weasley
56,56,21,Molly Weasley
1,1,20,Sirius Black
51,51,19,Bill Weasley
57,57,19,Percy Weasley
22,22,18,Rubeus Hagrid
52,52,18,Charlie Weasley
28,28,15,Neville Longbottom
47,47,14,Severus Snape
31,31,13,Remus Lupin
36,36,13,Minerva McGonagall
4,4,11,"Vincent Crabbe, Sr."
8,8,11,Fleur Delacour
37,37,11,Alastor (Mad-Eye) Moody
16,16,10,Seamus Finnigan
29,29,9,Luna Lovegood
45,45,9,Lord Voldemort
40,40,9,James Potter
3,3,8,Cho Chang
33,33,8,Lucius Malfoy
5,5,7,Vincent Crabbe
20,20,7,Gregory Goyle
32,32,7,Draco Malfoy
41,41,7,Lily Potter
10,10,6,Aberforth Dumbledore
24,24,6,Viktor Krum
34,34,6,Narcissa Malfoy
25,25,5,Bellatrix Lestrange
35,35,5,Olympe Maxime
59,59,5,Dobby
64,64,5,Grawp
6,6,4,"Bartemius (Barty) Crouch, Sr."
9,9,4,Cedric Diggory
15,15,4,Argus Filch
18,18,4,Cornelius Fudge
19,19,4,Goyle Sr.
23,23,4,Igor Karkaroff
38,38,4,Peter Pettigrew
49,49,4,Dolores Jane Umbridge
2,2,3,Lavender Brown
7,7,3,"Bartemius (Barty) Crouch, Jr."
12,12,3,Dudley Dursley
14,14,3,Vernon Dursley
26,26,3,Alice Longbottom
27,27,3,Frank Longbottom
48,48,3,Nymphadora Tonks
13,13,2,Petunia Dursley
43,43,2,Tom Riddle Sr.
44,44,2,Merope Gaunt
60,60,2,Fluffy
63,63,2,Aragog
17,17,1,Nicolas Flamel
30,30,1,Xenophilius Lovegood
61,61,1,Hedwig
62,62,1,Moaning Myrtle
0,0,1,Regulus Arcturus Black
