"To begin, please select your name.",9,7,24,13,22,20,16,27,31,23,26,23,7,9,30,25,24,13,20,16,11,13,25,21,22,31,26,25,24,22,27,22,V34,V35,V36,V37,V38
25,Extremely Trust  3,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Slightly Trust  1,Trust  2,Slightly Trust  1,Trust  2,Slightly Trust  1,Slightly Trust  1,Trust  2,Slightly Trust  1,Trust  2,Slightly Trust  1,Slightly Trust  1,Trust  2,Slightly Trust  1,I don't know this person.,Slightly Trust  1,Trust  2,This is my own name.,Slightly Trust  1,Trust  2,Slightly Trust  1,Trust  2,Slightly Trust  1,Trust  2,Slightly Trust  1,Trust  2,Slightly Trust  1,9,13,24,22,22
25,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,This is my own name.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,I don't know this person.,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,22,11,21,26,27
23,Trust  2,Slightly Trust  1,Slightly Trust  1,Slightly Trust  1,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Trust  2,This is my own name.,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Slightly Trust  1,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Neither Distrust Nor Trust  0,Slightly Trust  1,Slightly Trust  1,Trust  2,Slightly Trust  1,Trust  2,Extremely Trust  3,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Trust  2,Slightly Trust  1,25,31,24,7,16
27,Extremely Trust  3,Neither Distrust Nor Trust  0,Trust  2,Extremely Trust  3,Trust  2,Trust  2,Trust  2,This is my own name.,Trust  2,Slightly Trust  1,Extremely Trust  3,Trust  2,Extremely Trust  3,Trust  2,Extremely Trust  3,Slightly Trust  1,Extremely Trust  3,Slightly Trust  1,Slightly Trust  1,I don't know this person.,Neither Distrust Nor Trust  0,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Extremely Trust  3,Trust  2,Slightly Trust  1,Trust  2,Extremely Trust  3,Slightly Trust  1,Trust  2,9,30,13,11,22
16,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Slightly Trust  1,Slightly Trust  1,This is my own name.,Slightly Trust  1,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Slightly Trust  1,Slightly Trust  1,Neither Distrust Nor Trust  0,Extremely Trust  3,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,I don't know this person.,Slightly Trust  1,Neither Distrust Nor Trust  0,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,I don't know this person.,22,30,13,9,27
30,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,13,20,22,27,16
27,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Neither Distrust Nor Trust  0,Trust  2,Trust  2,Neither Distrust Nor Trust  0,Trust  2,Trust  2,Neither Distrust Nor Trust  0,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Neither Distrust Nor Trust  0,This is my own name.,Trust  2,9,13,7,11,27
22,Extremely Trust  3,Slightly Trust  1,Trust  2,Extremely Trust  3,This is my own name.,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Slightly Trust  1,Trust  2,Trust  2,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Trust  2,Extremely Trust  3,Extremely Trust  3,Trust  2,I don't know this person.,I don't know this person.,Trust  2,Extremely Trust  3,Extremely Trust  3,Trust  2,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Trust  2,Trust  2,Extremely Trust  3,25,22,24,13,16
13,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,This is my own name.,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,22,20,31,22,27
22,Extremely Trust  3,I don't know this person.,Slightly Trust  1,I don't know this person.,Extremely Trust  3,Extremely Trust  3,Slightly Trust  1,Trust  2,Neither Distrust Nor Trust  0,I don't know this person.,Slightly Trust  1,Neither Distrust Nor Trust  0,I don't know this person.,Trust  2,Slightly Trust  1,Neither Distrust Nor Trust  0,Slightly Trust  1,Slightly Trust  1,Trust  2,I don't know this person.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Trust  2,Slightly Trust  1,I don't know this person.,Trust  2,I don't know this person.,I don't know this person.,Extremely Trust  3,I don't know this person.,This is my own name.,26,22,9,20,22
