"To begin, please select your name.",13,21,11,9,16,30,7,25,23,22,31,6,19,3,27,20,4,17,32,12,24,28,14,26,15,1,18,5,29,2,10,8,V34,V35,V36,V37,V38
14,Extremely Trust  3,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Slightly Trust  1,Trust  2,Slightly Trust  1,Trust  2,Slightly Trust  1,Slightly Trust  1,Trust  2,Slightly Trust  1,Trust  2,Slightly Trust  1,Slightly Trust  1,Trust  2,Slightly Trust  1,I don't know this person.,Slightly Trust  1,Trust  2,This is my own name.,Slightly Trust  1,Trust  2,Slightly Trust  1,Trust  2,Slightly Trust  1,Trust  2,Slightly Trust  1,Trust  2,Slightly Trust  1,13,17,29,15,16
6,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Trust  2,This is my own name.,Neither Distrust Nor Trust  0,Trust  2,Slightly Trust  1,Trust  2,Neither Distrust Nor Trust  0,Trust  2,Trust  2,I don't know this person.,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Neither Distrust Nor Trust  0,Extremely Trust  3,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Slightly Trust  1,2,30,25,32,23
2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,This is my own name.,Trust  2,Trust  2,1,13,30,18,16
32,Extremely Trust  3,Trust  2,Trust  2,Extremely Trust  3,Trust  2,Extremely Trust  3,Trust  2,Extremely Trust  3,Extremely Trust  3,Trust  2,Trust  2,Trust  2,Trust  2,Extremely Trust  3,Extremely Trust  3,Trust  2,Trust  2,Extremely Trust  3,This is my own name.,Trust  2,Trust  2,Trust  2,Trust  2,Extremely Trust  3,Trust  2,Trust  2,Extremely Trust  3,Trust  2,Trust  2,Extremely Trust  3,Trust  2,Extremely Trust  3,2,13,17,27,3
27,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,9,32,15,25,7
20,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,This is my own name.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,I don't know this person.,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,2,24,26,18,10
12,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,This is my own name.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,18,2,1,11,13
15,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Trust  2,I don't know this person.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Trust  2,Neither Distrust Nor Trust  0,I don't know this person.,Trust  2,I don't know this person.,I don't know this person.,Neither Distrust Nor Trust  0,Extremely Trust  3,Extremely Trust  3,This is my own name.,Trust  2,Trust  2,Trust  2,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,I don't know this person.,13,14,26,30,18
1,Neither Distrust Nor Trust  0,Extremely Trust  3,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Extremely Trust  3,Trust  2,Neither Distrust Nor Trust  0,Extremely Trust  3,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,I don't know this person.,Neither Distrust Nor Trust  0,Extremely Trust  3,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,This is my own name.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Extremely Trust  3,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,1,29,28,22,21
5,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Slightly Trust  1,Slightly Trust  1,Slightly Trust  1,Trust  2,Slightly Trust  1,Slightly Trust  1,Trust  2,Slightly Trust  1,This is my own name.,Trust  2,Trust  2,Slightly Trust  1,Slightly Trust  1,18,31,4,9,16
